,target,source,Coste,player
0,Arsenal,West Ham,"116,60 mill. €",Declan RiceD. Rice
1,Arsenal,Chelsea,"75,00 mill. €",Kai HavertzK. Havertz
2,Arsenal,Ajax,"40,00 mill. €",Jurrien TimberJ. Timber
3,Arsenal,Brentford,"Coste de préstamo: 3,34 mill. €",David RayaD. Raya
4,Arsenal,Luton,Fin de préstamo 31/05/2024,Albert Sambi LokongaA. Lokonga
5,Arsenal,Marsella,Fin de préstamo 30/06/2023,Nuno TavaresN. Tavares
6,Arsenal,Fulham,Fin de préstamo 30/06/2023,Cédric SoaresC. Soares
7,Arsenal,Sturm Graz,Fin de préstamo 30/06/2023,Arthur OkonkwoA. Okonkwo
8,Arsenal,Cardiff,Fin de préstamo 31/05/2024,Rúnar Alex RúnarssonR. Rúnarsson
9,Arsenal,Niza,Fin de préstamo 30/06/2023,Nicolas PépéN. Pépé
10,Arsenal,Alanyaspor,Fin de préstamo 30/06/2023,Rúnar Alex RúnarssonR. Rúnarsson
11,Arsenal,Monza,Fin de préstamo 30/06/2023,Pablo MaríP. Marí
12,Arsenal,Wrexham,Fin de préstamo 31/05/2024,Arthur OkonkwoA. Okonkwo
13,Arsenal,Stade Reims,Fin de préstamo 30/06/2023,Folarin BalogunF. Balogun
0,Mónaco,Arsenal,"30,00 mill. €",Folarin BalogunF. Balogun
1,B. Leverkusen,Arsenal,"15,00 mill. €",Granit XhakaG. Xhaka
2,Nottm Forest,Arsenal,"8,15 mill. €",Matt TurnerM. Turner
3,Sheff Utd,Arsenal,"5,80 mill. €",Auston TrustyA. Trusty
4,Monza,Arsenal,"4,90 mill. €",Pablo MaríP. Marí
5,Real Sociedad,Arsenal,"Coste de préstamo: 1,40 mill. €",Kieran TierneyK. Tierney
6,Crystal Palace,Arsenal,"1,20 mill. €",Rob HoldingR. Holding
7,Nottm Forest,Arsenal,"Coste de préstamo: 1,15 mill. €",Nuno TavaresN. Tavares
8,FC Nantes,Arsenal,Coste de préstamo: 300 mil €,MarquinhosMarquinhos
9,Lyon,Arsenal,Libre,Ainsley Maitland-NilesA. Maitland-Niles
10,Cardiff,Arsenal,Préstamo,Rúnar Alex RúnarssonR. Rúnarsson
11,Wrexham,Arsenal,Préstamo,Arthur OkonkwoA. Okonkwo
12,Luton,Arsenal,Préstamo,Albert Sambi LokongaA. Lokonga
0,Aston Villa,B. Leverkusen,"55,00 mill. €",Moussa DiabyM. Diaby
1,Aston Villa,Villarreal CF,"33,00 mill. €",Pau TorresP. Torres
2,Aston Villa,Galatasaray,"Coste de préstamo: 5,00 mill. €",Nicolò ZanioloN. Zaniolo
3,Aston Villa,Leicester City,Libre,Youri TielemansY. Tielemans
4,Aston Villa,FC Barcelona,Préstamo,Clément LengletC. Lenglet
5,Aston Villa,Exeter City,Fin de préstamo 31/05/2024,Viljami SinisaloV. Sinisalo
6,Aston Villa,Levante UD,Fin de préstamo 30/06/2023,Wesley MoraesWesley Moraes
7,Aston Villa,Estrasburgo,Fin de préstamo 30/06/2023,Morgan SansonM. Sanson
0,Sheff Utd,Aston Villa,"21,55 mill. €",Cameron ArcherC. Archer
1,Hull City,Aston Villa,"5,80 mill. €",Jaden PhilogeneJ. Philogene
2,Luton,Aston Villa,"2,90 mill. €",Marvelous NakambaM. Nakamba
3,Udinese,Aston Villa,"2,30 mill. €",Keinan DavisK. Davis
4,Everton,Aston Villa,Libre,Ashley YoungA. Young
5,Stoke City,Aston Villa,?,Wesley MoraesWesley Moraes
6,Exeter City,Aston Villa,Préstamo,Viljami SinisaloV. Sinisalo
7,Niza,Aston Villa,Préstamo,Morgan SansonM. Sanson
8,Sin equipo,Aston Villa,-,Jed SteerJed Steer
0,Bournemouth,Leeds,"26,90 mill. €",Tyler AdamsT. Adams
1,Bournemouth,Sassuolo,"25,62 mill. €",Hamed Junior TraorèH. Traorè
2,Bournemouth,Bristol City,"23,00 mill. €",Alex ScottA. Scott
3,Bournemouth,AZ Alkmaar,"17,87 mill. €",Milos KerkezM. Kerkez
4,Bournemouth,Lyon,"15,00 mill. €",Romain FaivreR. Faivre
5,Bournemouth,AS Roma,"11,20 mill. €",Justin KluivertJ. Kluivert
