target,source,Coste,player
Arsenal,West Ham,"116,60 mill. €",Declan RiceD. Rice
Arsenal,Chelsea,"75,00 mill. €",Kai HavertzK. Havertz
Arsenal,Ajax,"40,00 mill. €",Jurrien TimberJ. Timber
Arsenal,Brentford,"Coste de cesión: 3,50 mill. €",David RayaD. Raya
Arsenal,Monza,Fin de cesión 30/06/2023,Pablo MaríP. Marí
Arsenal,Luton,Fin de cesión 31/05/2024,Albert Sambi LokongaA. Lokonga
Arsenal,Stade Reims,Fin de cesión 30/06/2023,Folarin BalogunF. Balogun
Arsenal,Niza,Fin de cesión 30/06/2023,Nicolas PépéN. Pépé
Arsenal,Fulham,Fin de cesión 30/06/2023,Cédric SoaresC. Soares
Arsenal,Marsella,Fin de cesión 30/06/2023,Nuno TavaresN. Tavares
Arsenal,Alanyaspor,Fin de cesión 30/06/2023,Rúnar Alex RúnarssonR. Rúnarsson
Arsenal,Cardiff,Fin de cesión 31/01/2024,Rúnar Alex RúnarssonR. Rúnarsson
Arsenal,FC Nantes,Fin de cesión 12/01/2024,MarquinhosMarquinhos
Arsenal,Wrexham,Fin de cesión 31/05/2024,Arthur OkonkwoA. Okonkwo
Arsenal,Sturm Graz,Fin de cesión 30/06/2023,Arthur OkonkwoA. Okonkwo
Mónaco,Arsenal,"30,00 mill. €",Folarin BalogunF. Balogun
B. Leverkusen,Arsenal,"15,00 mill. €",Granit XhakaG. Xhaka
Nottm Forest,Arsenal,"8,15 mill. €",Matt TurnerM. Turner
Monza,Arsenal,"6,20 mill. €",Pablo MaríP. Marí
Sheff Utd,Arsenal,"5,80 mill. €",Auston TrustyA. Trusty
Real Sociedad,Arsenal,"Coste de cesión: 1,40 mill. €",Kieran TierneyK. Tierney
Crystal Palace,Arsenal,"1,20 mill. €",Rob HoldingR. Holding
Nottm Forest,Arsenal,"Coste de cesión: 1,15 mill. €",Nuno TavaresN. Tavares
FC Nantes,Arsenal,Coste de cesión: 300 mil €,MarquinhosMarquinhos
FC Copenhague,Arsenal,Libre,Rúnar Alex RúnarssonR. Rúnarsson
Trabzonspor,Arsenal,Libre,Nicolas PépéN. Pépé
Lyon,Arsenal,Libre,Ainsley Maitland-NilesA. Maitland-Niles
Luton,Arsenal,Cesión,Albert Sambi LokongaA. Lokonga
Cardiff,Arsenal,Cesión,Rúnar Alex RúnarssonR. Rúnarsson
Wrexham,Arsenal,Cesión,Arthur OkonkwoA. Okonkwo
Fluminense,Arsenal,Cesión,MarquinhosMarquinhos
Aston Villa,B. Leverkusen,"55,00 mill. €",Moussa DiabyM. Diaby
Aston Villa,Villarreal CF,"33,00 mill. €",Pau TorresP. Torres
Aston Villa,Middlesbrough,"9,40 mill. €",Morgan RogersM. Rogers
Aston Villa,Estrella Roja,"7,60 mill. €",Kosta NedeljkovicK. Nedeljkovic
Aston Villa,Galatasaray,"Coste de cesión: 5,00 mill. €",Nicolò ZanioloN. Zaniolo
Aston Villa,Adelaide United,"1,50 mill. €",Joe GauciJoe Gauci
Aston Villa,Leicester City,Libre,Youri TielemansY. Tielemans
Aston Villa,Arsenal U21,?,Lino SousaL. Sousa
Aston Villa,Aston Villa U21,-,Kaine Kesler-HaydenK. Kesler-Hayden
Aston Villa,Aston Villa U21,-,Filip MarschallF. Marschall
Aston Villa,FC Barcelona,Cesión,Clément LengletC. Lenglet
Aston Villa,Levante UD,Fin de cesión 30/06/2023,Wesley MoraesWesley Moraes
Aston Villa,Plymouth Argyle,Fin de cesión 31/05/2024,Lino SousaL. Sousa
Aston Villa,Exeter City,Fin de cesión 31/05/2024,Viljami SinisaloV. Sinisalo
Aston Villa,Estrasburgo,Fin de cesión 30/06/2023,Morgan SansonM. Sanson
Aston Villa,MK Dons,Fin de cesión 31/05/2024,Filip MarschallF. Marschall
Sheff Utd,Aston Villa,"21,55 mill. €",Cameron ArcherC. Archer
Hull City,Aston Villa,"5,80 mill. €",Jaden PhilogeneJ. Philogene
Luton,Aston Villa,"2,90 mill. €",Marvelous NakambaM. Nakamba
Udinese,Aston Villa,"2,30 mill. €",Keinan DavisK. Davis
Villarreal CF,Aston Villa,Libre,Bertrand TraoréB. Traoré
Stoke City,Aston Villa,Libre,Wesley MoraesWesley Moraes
Everton,Aston Villa,Libre,Ashley YoungA. Young
Plymouth Argyle,Aston Villa,Cesión,Lino SousaL. Sousa
Estrella Roja,Aston Villa,Cesión,Kosta NedeljkovicK. Nedeljkovic
Niza,Aston Villa,Cesión,Morgan SansonM. Sanson
Nápoles,Aston Villa,Cesión,Leander DendonckerL. Dendoncker
Exeter City,Aston Villa,Cesión,Viljami SinisaloV. Sinisalo
MK Dons,Aston Villa,Cesión,Filip MarschallF. Marschall
Al-Duhail SC,Aston Villa,Cesión,Philippe CoutinhoP. Coutinho
Sin equipo,Aston Villa,-,Jed SteerJed Steer
Bournemouth,Leeds,"26,90 mill. €",Tyler AdamsT. Adams
Bournemouth,Sassuolo,"25,62 mill. €",Hamed Junior TraorèH. Traorè
Bournemouth,Bristol City,"23,00 mill. €",Alex ScottA. Scott
Bournemouth,AZ Alkmaar,"17,87 mill. €",Milos KerkezM. Kerkez
Bournemouth,Lyon,"15,00 mill. €",Romain FaivreR. Faivre
Bournemouth,AS Roma,"10,80 mill. €",Justin KluivertJ. Kluivert
Bournemouth,Norwich,"8,10 mill. €",Max AaronsM. Aarons
Bournemouth,Leeds,Cesión,Luis SinisterraL. Sinisterra
Bournemouth,Getafe CF,Cesión,Enes ÜnalE. Ünal
Bournemouth,Inter,Cesión,Andrei RaduA. Radu
Bournemouth,Leeds,Fin de cesión 31/05/2024,Jaidon AnthonyJ. Anthony
Bournemouth,Heart of Midl.,Fin de cesión 30/06/2023,James HillJ. Hill
Bournemouth,Stoke City,Fin de cesión 27/10/2023,Mark TraversM. Travers
Bournemouth,Nordsjælland,Fin de cesión 30/06/2023,Emiliano MarcondesE. Marcondes
Bournemouth,Hibernian FC,Fin de cesión 31/05/2024,Emiliano MarcondesE. Marcondes
Bournemouth,Swansea City,Fin de cesión 31/05/2024,Jamal LoweJ. Lowe
Bournemouth,AJ Auxerre,Fin de cesión 30/06/2023,Siriki DembéléS. Dembélé
Bournemouth,Kilmarnock FC,Fin de cesión 31/05/2024,Will DennisW. Dennis
Bournemouth,Fleetwood,Fin de cesión 31/05/2024,Gavin KilkennyG. Kilkenny
Bournemouth,QPR,Fin de cesión 30/06/2023,Jamal LoweJ. Lowe
Bournemouth,FC Lorient,Fin de cesión 31/01/2024,Romain FaivreR. Faivre
Bournemouth,Southampton,Fin de cesión 31/05/2024,David BrooksD. Brooks
Bournemouth,Blackburn,Fin de cesión 10/01/2024,James HillJ. Hill
Bournemouth,Southampton,Fin de cesión 31/05/2024,Joe RothwellJ. Rothwell
Bournemouth,Ipswich,Fin de cesión 31/05/2024,Kieffer MooreK. Moore
Stoke City,Bournemouth,"1,50 mill. €",Ben PearsonB. Pearson
